Name,Category,Type1,Type2,Height,Weight,Ability1,Ability2,Description,Ability3
Spearow,Tiny Bird Pokemon,Normal,Flying,1ft.0in. (0.30m),4.4 lbs (2.0 kg),Keen Eye,Sniper,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",
Fearow,Beak Pokemon,Normal,Flying,3ft.11in. (1.19m),83.8 lbs (38.0 kg),Keen Eye,Sniper,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.,
Ekans,Snake Pokemon,Poison,,6ft.7in. (2.01m),15.2 lbs (6.9 kg),Intimidate,Shed Skin,It sneaks through grass without making a sound and strikes unsuspecting prey from behind.,Unnerve
Arbok,Cobra Pokemon,Poison,,11ft.6in. (3.51m),143.3 lbs (65.0 kg),Intimidate,Shed Skin,The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.,Unnerve
Pikachu,Mouse Pokemon,Electric,,1ft.4in. (0.41m),13.2 lbs (6.0 kg),Static,Lightning Rod,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.,
Raichu,Mouse Pokemon,Electric,,2ft.7in. (0.79m),66.1 lbs (30.0 kg),Static,Lightning Rod,"Its tail discharges electricity into the ground, protecting it from getting shocked.",
Sandshrew,Mouse Pokemon,Ground,,2ft.0in. (0.61m),26.5 lbs (12.0 kg),Sand Veil,Sand Rush,"It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks.",
Sandslash,Mouse Pokemon,Ground,,3ft.3in. (0.99m),65 lbs (29.5 kg),Sand Veil,Sand Rush,The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.,
Nidoran-f,Poison Pin Pokemon,Poison,,1ft.4in. (0.41m),15.4 lbs (7.0 kg),Poison Point,Rivalry,"While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.",Hustle
Nidorina,Poison Pin Pokemon,Poison,,2ft.7in. (0.79m),44.1 lbs (20.0 kg),Poison Point,Rivalry,"When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorinos.",Hustle
Nidoqueen,Drill Pokemon,Poison,Ground,4ft.3in. (1.30m),132.3 lbs (60.0 kg),Poison Point,Rivalry,Its entire body is armored with hard scales. It will protect the young in its burrow with its life.,Sheer Force
Nidoran-M,Poison Pin Pokemon,Poison,,1ft.8in. (0.51m),19.8 lbs (9.0 kg),Poison Point,Rivalry,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.,Hustle
Nidorino,Poison Pin Pokemon,Poison,,2ft.11in. (0.89m),43 lbs (19.5 kg),Poison Point,Rivalry,"It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.",Hustle
Nidoking,Drill Pokemon,Poison,Ground,4ft.7in. (1.40m),136.7 lbs (62.0 kg),Poison Point,Rivalry,One swing of its mighty tail can snap a telephone pole as if it were a matchstick.,Sheer Force
Clefairy,Fairy Pokemon,Fairy,,2ft.0in. (0.61m),16.5 lbs (7.5 kg),Cute Charm,Magic Guard,"On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float.",Friend Guard
Clefable,Fairy Pokemon,Fairy,,4ft.3in. (1.30m),88.2 lbs (40.0 kg),Cute Charm,Magic Guard,"Their ears are sensitive enough to hear a pin drop from over a mile away, so theyre usually found in quiet places.",Unaware
Vulpix,Fox Pokemon,Fire,,2ft.0in. (0.61m),21.8 lbs (9.9 kg),Flash Fire,Drought,"As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm.",
Ninetales,Fox Pokemon,Fire,,3ft.7in. (1.09m),43.9 lbs (19.9 kg),Flash Fire,Drought,"Each of its nine tails is imbued with supernatural power, and it can live for a thousand years.",
Jigglypuff,Balloon Pokemon,Normal,Fairy,1ft.8in. (0.51m),12.1 lbs (5.5 kg),Competitive,Cute Charm,"Looking into its cute, round eyes makes it start singing a song so pleasant listeners cant help but fall asleep.",Friend Guard
Wigglytuff,Balloon Pokemon,Normal,Fairy,3ft.3in. (0.99m),26.5 lbs (12.0 kg),Competitive,Cute Charm,"Its fine fur feels so pleasant, those who accidentally touch it cannot take their hands away.",Frisk
Zubat,Bat Pokemon,Poison,Flying,2ft.7in. (0.79m),16.5 lbs (7.5 kg),Inner Focus,Infiltrator,"It does not need eyes, because it emits ultrasonic waves to check its surroundings while it flies.",
Golbat,Bat Pokemon,Poison,Flying,5ft.3in. (1.60m),121.3 lbs (55.0 kg),Inner Focus,Infiltrator,"Flitting around in the dead of night, it sinks its fangs into its prey and drains a nearly fatal amount of blood.",
Oddish,Weed Pokemon,Grass,Poison,1ft.8in. (0.51m),11.9 lbs (5.4 kg),Chlorophyll,Run Away,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.,
Gloom,Weed Pokemon,Grass,Poison,2ft.7in. (0.79m),19 lbs (8.6 kg),Chlorophyll,Stench,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.",
Vileplume,Flower Pokemon,Grass,Poison,3ft.11in. (1.19m),41 lbs (18.6 kg),Chlorophyll,Effect Spore,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen.",
Paras,Mushroom Pokemon,Bug,Grass,1ft.0in. (0.30m),11.9 lbs (5.4 kg),Dry Skin,Effect Spore,Mushrooms named tochukaso grow on its back. They grow along with the host Paras.,Damp
Parasect,Mushroom Pokemon,Bug,Grass,3ft.3in. (0.99m),65 lbs (29.5 kg),Dry Skin,Effect Spore,A mushroom grown larger than the hosts body controls Parasect. It scatters poisonous spores.,Damp
Venonat,Insect Pokemon,Bug,Poison,3ft.3in. (0.99m),66.1 lbs (30.0 kg),Compound Eyes,Tinted Lens,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.",Run Away
Venomoth,Poison Moth Pokemon,Bug,Poison,4ft.11in. (1.50m),27.6 lbs (12.5 kg),Shield Dust,Tinted Lens,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.,Wonder Skin
Diglett,Mole Pokemon,Ground,,0ft.8in. (0.20m),1.8 lbs (0.8 kg),Arena Trap,Sand Veil,"A Pokemon that lives underground. Because of its dark habitat, it is repelled by bright sunlight.",Sand Force
Dugtrio,Mole Pokemon,Ground,,2ft.4in. (0.71m),73.4 lbs (33.3 kg),Arena Trap,Sand Veil,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles.",Sand Force
Meowth,Scratch Cat Pokemon,Normal,,1ft.4in. (0.41m),9.3 lbs (4.2 kg),Pickup,Technician,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.",Unnerve
Persian,Classy Cat Pokemon,Normal,,3ft.3in. (0.99m),70.5 lbs (32.0 kg),Limber,Technician,"A very haughty Pokemon. Among fans, the size of the jewel in its forehead is a topic of much talk.",Unnerve
Psyduck,Duck Pokemon,Water,,2ft.7in. (0.79m),43.2 lbs (19.6 kg),Cloud Nine,Damp,"When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power.",Swift Swim
Golduck,Duck Pokemon,Water,,5ft.7in. (1.70m),168.9 lbs (76.6 kg),Cloud Nine,Damp,"When its forehead shines mysteriously, Golduck can use the full extent of its power.",Swift Swim
Mankey,Pig Monkey Pokemon,Fighting,,1ft.8in. (0.51m),61.7 lbs (28.0 kg),Anger Point,Vital Spirit,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason.",Defiant
Primeape,Pig Monkey Pokemon,Fighting,,3ft.3in. (0.99m),70.5 lbs (32.0 kg),Anger Point,Vital Spirit,"It grows angry if you see its eyes and gets angrier if you run. If you beat it, it gets even madder.",Defiant
Growlithe,Puppy Pokemon,Fire,,2ft.4in. (0.71m),41.9 lbs (19.0 kg),Flash Fire,Intimidate,"Extremely loyal to its Trainer, it will bark at those who approach the Trainer unexpectedly and run them out of town.",Justified
Arcanine,Legendary Pokemon,Fire,,6ft.3in. (1.91m),341.7 lbs (155.0 kg),Flash Fire,Intimidate,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",Justified
Poliwag,Tadpole Pokemon,Water,,2ft.0in. (0.61m),27.3 lbs (12.4 kg),Damp,Water Absorb,"Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet.",Swift Swim
Poliwhirl,Tadpole Pokemon,Water,,3ft.3in. (0.99m),44.1 lbs (20.0 kg),Damp,Water Absorb,The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness.,Swift Swim
Poliwrath,Tadpole Pokemon,Water,Fighting,4ft.3in. (1.30m),119 lbs (54.0 kg),Damp,Water Absorb,"With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting.",Swift Swim
Abra,Psi Pokemon,Psychic,,2ft.11in. (0.89m),43 lbs (19.5 kg),Inner Focus,Synchronize,Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.,Magic Guard
Kadabra,Psi Pokemon,Psychic,,4ft.3in. (1.30m),124.6 lbs (56.5 kg),Inner Focus,Synchronize,It stares at its silver spoon to focus its mind. It emits more alpha waves while doing so.,Magic Guard
Alakazam,Psi Pokemon,Psychic,,4ft.11in. (1.50m),105.8 lbs (48.0 kg),Inner Focus,Synchronize,The spoons clutched in its hands are said to have been created by its psychic powers.,Magic Guard
Machop,Superpower Pokemon,Fighting,,2ft.7in. (0.79m),43 lbs (19.5 kg),Guts,No Guard,"Though small in stature, it is powerful enough to easily heft and throw a number of Geodude at once.",Steadfast
Machoke,Superpower Pokemon,Fighting,,4ft.11in. (1.50m),155.4 lbs (70.5 kg),Guts,No Guard,It happily carries heavy cargo to toughen up. It willingly does hard work for people.,Steadfast
Machamp,Superpower Pokemon,Fighting,,5ft.3in. (1.60m),286.6 lbs (130.0 kg),Guts,No Guard,Its four muscled arms slam foes with powerful punches and chops at blinding speed.,Steadfast
Bellsprout,Flower Pokemon,Grass,Poison,2ft.4in. (0.71m),8.8 lbs (4.0 kg),Chlorophyll,Gluttony,It prefers hot and humid environments. It is quick at capturing prey with its vines.,
Weepinbell,Flycatcher Pokemon,Grass,Poison,3ft.3in. (0.99m),14.1 lbs (6.4 kg),Chlorophyll,Gluttony,A Pokemon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.,
Victreebel,Flycatcher Pokemon,Grass,Poison,5ft.7in. (1.70m),34.2 lbs (15.5 kg),Chlorophyll,Gluttony,"It pools in its mouth a fluid with a honey-like scent, which is really an acid that dissolves anything.",
Tentacool,Jellyfish Pokemon,Water,Poison,2ft.11in. (0.89m),100.3 lbs (45.5 kg),Clear Body,Liquid Ooze,"Because its body is almost entirely composed of water, it shrivels up if it is washed ashore.",Rain Dish
Tentacruel,Jellyfish Pokemon,Water,Poison,5ft.3in. (1.60m),121.3 lbs (55.0 kg),Clear Body,Liquid Ooze,It extends its 80 tentacles to form an encircling poisonous net that is difficult to escape.,Rain Dish
Geodude,Rock Pokemon,Rock,Ground,1ft.4in. (0.41m),44.1 lbs (20.0 kg),Rock Head,Sturdy,"At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily.",Sand Veil
Graveler,Rock Pokemon,Rock,Ground,3ft.3in. (0.99m),231.5 lbs (105.0 kg),Rock Head,Sturdy,"It rolls on mountain paths to move. Once it builds momentum, no Pokemon can stop it without difficulty.",Sand Veil
Golem,Megaton Pokemon,Rock,Ground,4ft.7in. (1.40m),661.4 lbs (300.0 kg),Rock Head,Sturdy,"Even dynamite cant harm its hard, boulder-like body. It sheds its hide just once a year.",Sand Veil
Ponyta,Fire Horse Pokemon,Fire,,3ft.3in. (0.99m),66.1 lbs (30.0 kg),Flash Fire,Run Away,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster.",Flame Body
Rapidash,Fire Horse Pokemon,Fire,,5ft.7in. (1.70m),209.4 lbs (95.0 kg),Flash Fire,Run Away,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance.",Flame Body
Slowpoke,Dopey Pokemon,Water,Psychic,3ft.11in. (1.19m),79.4 lbs (36.0 kg),Oblivious,Own Tempo,"Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten.",Regenerator
Slowbro,Hermit Crab Pokemon,Water,Psychic,5ft.3in. (1.60m),173.1 lbs (78.5 kg),Oblivious,Own Tempo,"Though usually dim witted, it seems to become inspired if the Shellder on its tail bites down.",Regenerator
Magnemite,Magnet Pokemon,Electric,Steel,1ft.0in. (0.30m),13.2 lbs (6.0 kg),Magnet Pull,Sturdy,"The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float.",Analytic
Magneton,Magnet Pokemon,Electric,Steel,3ft.3in. (0.99m),132.3 lbs (60.0 kg),Magnet Pull,Sturdy,The stronger electromagnetic waves from the three linked Magnemite are enough to dry out surrounding moisture.,Analytic
Farfetch'd,Wild Duck Pokemon,Normal,Flying,2ft.7in. (0.79m),33.1 lbs (15.0 kg),Inner Focus,Keen Eye,It cant live without the stalk it holds. Thats why it defends the stalk from attackers with its life.,Defiant
Doduo,Twin Bird Pokemon,Normal,Flying,4ft.7in. (1.40m),86.4 lbs (39.2 kg),Early Bird,Run Away,The brains in its two heads appear to communicate emotions to each other with a telepathic power.,Tangled Feet
Dodrio,Triple Bird Pokemon,Normal,Flying,5ft.11in. (1.80m),187.8 lbs (85.2 kg),Early Bird,Run Away,"When Doduo evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph.",Tangled Feet
Seel,Sea Lion Pokemon,Water,,3ft.7in. (1.09m),198.4 lbs (90.0 kg),Hydration,Thick Fat,"The colder it gets, the better it feels. It joyfully swims around oceans so cold that they are filled with floating ice.",Ice Body
Dewgong,Sea Lion Pokemon,Water,Ice,5ft.7in. (1.70m),264.6 lbs (120.0 kg),Hydration,Thick Fat,"Its streamlined body has low resistance, and it swims around cold oceans at a speed of eight knots.",Ice Body
Grimer,Sludge Pokemon,Poison,,2ft.11in. (0.89m),66.1 lbs (30.0 kg),Stench,Sticky Hold,"Born from sludge, these Pokemon now gather in polluted places and increase the bacteria in their bodies.",Poison Touch
Muk,Sludge Pokemon,Poison,,3ft.11in. (1.19m),66.1 lbs (30.0 kg),Stench,Sticky Hold,"Its so stinky! Muks body contains toxic elements, and any plant will wilt when it passes by.",Poison Touch
Shellder,Bivalve Pokemon,Water,,1ft.0in. (0.30m),8.8 lbs (4.0 kg),Shell Armor,Skill Link,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.,Overcoat
Cloyster,Bivalve Pokemon,Water,Ice,4ft.11in. (1.50m),292.1 lbs (132.5 kg),Shell Armor,Skill Link,It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.,Overcoat
Gastly,Gas Pokemon,Ghost,Poison,4ft.3in. (1.30m),0.2 lbs (0.1 kg),Levitate,,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.",
Haunter,Gas Pokemon,Ghost,Poison,5ft.3in. (1.60m),0.2 lbs (0.1 kg),Levitate,,It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.,
Gengar,Shadow Pokemon,Ghost,Poison,4ft.11in. (1.50m),89.3 lbs (40.5 kg),Levitate,,The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.,
Onix,Rock Snake Pokemon,Rock,Ground,28ft.10in. (8.79m),463 lbs (210.0 kg),Rock Head,Sturdy,"Opening its large mouth, it ingests massive amounts of soil and creates long tunnels.",Weak Armor
Drowzee,Hypnosis Pokemon,Psychic,,3ft.3in. (0.99m),71.4 lbs (32.4 kg),Forewarn,Insomnia,It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.,Inner Focus
Hypno,Hypnosis Pokemon,Psychic,,5ft.3in. (1.60m),166.7 lbs (75.6 kg),Forewarn,Insomnia,"Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up.",Inner Focus
Krabby,River Crab Pokemon,Water,,1ft.4in. (0.41m),14.3 lbs (6.5 kg),Hyper Cutter,Shell Armor,It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.,Sheer Force
Kingler,Pincer Pokemon,Water,,4ft.3in. (1.30m),132.3 lbs (60.0 kg),Hyper Cutter,Shell Armor,"The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.",Sheer Force
Voltorb,Ball Pokemon,Electric,,1ft.8in. (0.51m),22.9 lbs (10.4 kg),Soundproof,Static,It looks just like a Pok Ball. It is dangerous because it may electrocute or explode on contact.,Aftermath
Electrode,Ball Pokemon,Electric,,3ft.11in. (1.19m),146.8 lbs (66.6 kg),Soundproof,Static,It is known to drift on winds if it is bloated to bursting with stored electricity.,Aftermath
Exeggcute,Egg Pokemon,Grass,Psychic,1ft.4in. (0.41m),5.5 lbs (2.5 kg),Chlorophyll,Harvest,Its six eggs converse using telepathy. They can quickly gather if they become separated.,
Exeggutor,Coconut Pokemon,Grass,Psychic,6ft.7in. (2.01m),264.6 lbs (120.0 kg),Chlorophyll,Harvest,"It is called The Walking Jungle. If a head grows too big, it falls off and becomes an Exeggcute.",
Cubone,Lonely Pokemon,Ground,,1ft.4in. (0.41m),14.3 lbs (6.5 kg),Lightning Rod,Rock Head,"When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.",Battle Armor
Marowak,Bone Keeper Pokemon,Ground,,3ft.3in. (0.99m),99.2 lbs (45.0 kg),Lightning Rod,Rock Head,"From its birth, this savage Pokemon constantly holds bones. It is skilled in using them as weapons.",Battle Armor
Hitmonlee,Kicking Pokemon,Fighting,,4ft.11in. (1.50m),109.8 lbs (49.8 kg),Limber,Reckless,Its legs can stretch double. First-time foes are startled by its extensible reach.,Unburden
Hitmonchan,Punching Pokemon,Fighting,,4ft.7in. (1.40m),110.7 lbs (50.2 kg),Iron Fist,Keen Eye,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.,Inner Focus
Lickitung,Licking Pokemon,Normal,,3ft.11in. (1.19m),144.4 lbs (65.5 kg),Oblivious,Own Tempo,"Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail.",Cloud Nine
Koffing,Poison Gas Pokemon,Poison,,2ft.0in. (0.61m),2.2 lbs (1.0 kg),Levitate,,"Toxic gas is held within its thin, balloon-shaped body, so it can cause massive explosions.",
Weezing,Poison Gas Pokemon,Poison,,3ft.11in. (1.19m),20.9 lbs (9.5 kg),Levitate,,Inhaling toxic fumes from trash and mixing them inside its body lets it spread an even fouler stench.,
Rhyhorn,Spikes Pokemon,Ground,Rock,3ft.3in. (0.99m),253.5 lbs (115.0 kg),Lightning Rod,Rock Head,"Its powerful tackles can destroy anything. However, it is too slow witted to help people work.",Reckless
Rhydon,Drill Pokemon,Ground,Rock,6ft.3in. (1.91m),264.6 lbs (120.0 kg),Lightning Rod,Rock Head,"Standing on its hind legs freed its forelegs and made it smarter. It is very forgetful, however.",Reckless
Chansey,Egg Pokemon,Normal,,3ft.7in. (1.09m),76.3 lbs (34.6 kg),Natural Cure,Serene Grace,A kindly Pokemon that lays highly nutritious eggs and shares them with injured Pokmon or people.,Healer
Tangela,Vine Pokemon,Grass,,3ft.3in. (0.99m),77.2 lbs (35.0 kg),Chlorophyll,Leaf Guard,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.",Regenerator
Kangaskhan,Parent Pokemon,Normal,,7ft.3in. (2.21m),176.4 lbs (80.0 kg),Early Bird,Scrappy,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.,Inner Focus
Horsea,Dragon Pokemon,Water,,1ft.4in. (0.41m),17.6 lbs (8.0 kg),Sniper,Swift Swim,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.",Damp
Seadra,Dragon Pokemon,Water,,3ft.11in. (1.19m),55.1 lbs (25.0 kg),Poison Point,Sniper,Its spines provide protection. Its fins and bones are prized as traditional-medicine ingredients.,Damp
Goldeen,Goldfish Pokemon,Water,,2ft.0in. (0.61m),33.1 lbs (15.0 kg),Swift Swim,Water Veil,"Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn.",Lightning Rod
Seaking,Goldfish Pokemon,Water,,4ft.3in. (1.30m),86 lbs (39.0 kg),Swift Swim,Water Veil,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.",Lightning Rod
Staryu,Star Shape Pokemon,Water,,2ft.7in. (0.79m),76.1 lbs (34.5 kg),Illuminate,Natural Cure,"As long as its red core remains, it can regenerate its body instantly, even if its torn apart.",Analytic
Starmie,Mysterious Pokemon,Water,Psychic,3ft.7in. (1.09m),176.4 lbs (80.0 kg),Illuminate,Natural Cure,Its core shines in many colors and sends radio signals into space to communicate with something.,Analytic
Mr. Mime,Barrier Pokemon,Psychic,Fairy,4ft.3in. (1.30m),120.2 lbs (54.5 kg),Filter,Soundproof,It shapes an invisible wall in midair by minutely vibrating its fingertips to stop molecules in the air.,Technician
Scyther,Mantis Pokemon,Bug,Flying,4ft.11in. (1.50m),123.5 lbs (56.0 kg),Swarm,Technician,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.,Steadfast
Jynx,Human Shape Pokemon,Ice,Psychic,4ft.7in. (1.40m),89.5 lbs (40.6 kg),Forewarn,Oblivious,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say.",Dry Skin
Electabuzz,Electric Pokemon,Electric,,3ft.7in. (1.09m),66.1 lbs (30.0 kg),Static,Vital Spirit,Research is progressing on storing lightning in Electabuzz so this energy can be used at any time.,
Magmar,Spitfire Pokemon,Fire,,4ft.3in. (1.30m),98.1 lbs (44.5 kg),Flame Body,Vital Spirit,"The scorching fire exhaled by Magmar forms heat waves around its body, making it hard to see the Pokemon clearly.",
Pinsir,Stag Beetle Pokemon,Bug,,4ft.11in. (1.50m),121.3 lbs (55.0 kg),Hyper Cutter,Mold Breaker,It grips prey with its powerful pincers and will not let go until the prey is torn in half.,Moxie
Tauros,Wild Bull Pokemon,Normal,,4ft.7in. (1.40m),194.9 lbs (88.4 kg),Anger Point,Intimidate,"Once it takes aim at its foe, it makes a headlong charge. It is famous for its violent nature.",Sheer Force
Magikarp,Fish Pokemon,Water,,2ft.11in. (0.89m),22 lbs (10.0 kg),Swift Swim,Rattled,"A Magikarp living for many years can leap a mountain using Splash. The move remains useless, though.",
Gyarados,Atrocious Pokemon,Water,Flying,21ft.4in. (6.50m),518.1 lbs (235.0 kg),Intimidate,Moxie,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.",
Lapras,Transport Pokemon,Water,Ice,8ft.2in. (2.49m),485 lbs (220.0 kg),Shell Armor,Water Absorb,"Able to understand human speech and very intelligent, it loves to swim in the sea with people on its back.",Hydration
Ditto,Transform Pokemon,Normal,,1ft.0in. (0.30m),8.8 lbs (4.0 kg),Limber,Imposter,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.",
Eevee,Evolution Pokemon,Normal,,1ft.0in. (0.30m),14.3 lbs (6.5 kg),Adaptability,Run Away,"Thanks to its unstable genetic makeup, this special Pokemon conceals many different possible evolutions.",Anticipation
Vaporeon,Bubble Jet Pokemon,Water,,3ft.3in. (0.99m),63.9 lbs (29.0 kg),Water Absorb,Hydration,"Its cell composition is similar to water molecules. As a result, it cant be seen when it melts away into water.",
Jolteon,Lightning Pokemon,Electric,,2ft.7in. (0.79m),54 lbs (24.5 kg),Volt Absorb,Quick Feet,"By storing electricity in its body, it can shoot its bristlelike fur like a barrage of missiles.",
Flareon,Flame Pokemon,Fire,,2ft.11in. (0.89m),55.1 lbs (25.0 kg),Flash Fire,Guts,"Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees F.",
Porygon,Virtual Pokemon,Normal,,2ft.7in. (0.79m),80.5 lbs (36.5 kg),Download,Trace,A man-made Pokemon created using advanced scientific means. It can move freely in cyberspace.,Analytic
Omanyte,Spiral Pokemon,Rock,Water,1ft.4in. (0.41m),16.5 lbs (7.5 kg),Shell Armor,Swift Swim,A Pokemon that was resurrected from a fossil using modern science. It swam in ancient seas.,Weak Armor
